#;H1;H2;H3;H4;H5;H6;H7;M1;M2;M3;M4;M5;M6;L1;L2;L3;L4;L5;L6;L7
02656;3;6;7;8;10;18;22;28;31;32;33;41;43;51;52;57;65;67;68;69
02657;1;5;6;10;15;20;25;26;36;40;45;50;52;57;61;63;67;68;69;70
02658;5;7;11;16;17;20;25;27;30;32;43;44;45;50;57;63;64;65;66;67
02659;1;3;8;9;10;11;14;23;31;32;36;41;42;45;48;54;59;62;68;69
02660;7;20;22;24;26;29;30;31;32;33;40;43;46;47;51;54;56;62;67;70
02661;1;3;6;7;8;13;22;32;34;38;39;40;41;44;46;53;54;57;61;65
02662;2;3;5;7;8;17;19;22;35;41;42;44;47;48;51;56;58;60;64;68
02663;4;8;12;17;19;21;26;27;30;31;41;43;44;45;46;49;52;61;65;69
02664;3;5;13;18;20;22;26;32;33;35;38;40;41;43;49;54;55;62;63;68
02665;10;12;13;15;21;22;24;25;29;31;32;33;37;44;49;50;54;64;66;67
02666;4;7;9;11;14;22;23;27;30;32;35;38;39;40;51;54;55;57;59;70
02667;3;10;19;22;23;26;28;35;39;40;45;50;52;53;56;58;59;61;64;66
02668;4;7;13;14;15;19;22;29;30;41;42;43;44;54;55;59;63;66;67;69
02669;1;7;9;15;27;31;33;35;37;42;43;45;47;48;53;55;59;61;62;67
02670;8;10;12;19;24;27;29;36;37;40;44;49;50;53;55;57;63;65;66;69
02671;3;5;6;7;9;10;18;20;21;23;27;28;34;36;37;38;39;53;63;70
02672;1;5;15;16;20;25;32;34;39;43;44;49;51;53;62;63;64;65;66;70
02673;2;5;9;18;19;20;26;27;28;36;40;41;47;49;57;60;61;68;69;70
02674;5;6;7;8;10;13;14;21;23;28;29;30;33;35;45;46;52;56;57;62
02675;6;12;16;19;20;29;32;34;35;38;43;46;49;51;52;54;55;56;58;66
02676;1;6;7;19;20;24;26;28;34;36;41;43;45;48;51;52;59;63;64;70
02677;7;9;12;19;23;25;26;30;31;33;36;38;39;40;45;51;52;55;59;70
02678;3;7;8;10;24;25;27;31;33;36;37;40;46;49;51;52;55;60;62;69
02679;1;2;5;8;10;13;29;33;34;38;42;51;53;54;55;62;64;66;68;70
02680;4;6;7;10;11;15;19;20;22;28;32;44;46;52;55;57;60;62;65;69
02681;5;7;9;12;14;17;23;29;35;37;39;46;48;50;51;56;67;68;69;70
02682;1;2;4;9;12;13;14;16;17;20;28;36;43;48;49;58;60;62;64;68
02683;2;6;8;13;17;21;22;32;35;36;37;40;42;44;48;50;54;59;64;69
02684;3;4;5;6;17;26;27;30;35;40;50;52;53;55;56;58;59;66;68;70
02685;2;3;4;10;12;13;16;21;25;28;29;32;35;37;38;39;48;51;59;60
02686;16;17;21;23;25;33;34;35;46;48;54;56;58;59;63;64;65;67;68;70
02687;4;7;10;13;16;22;28;33;37;38;39;42;43;46;47;50;60;64;69;70
02688;1;3;4;7;9;14;17;19;22;24;26;33;35;38;46;47;56;59;61;69
02689;3;8;12;14;20;24;28;29;33;34;35;39;40;45;46;47;56;63;66;70
02690;3;8;12;13;14;22;25;27;28;31;35;40;41;42;44;51;56;58;59;61
02691;7;10;22;23;24;25;31;38;39;44;46;47;48;54;57;58;61;65;66;67
02692;5;6;10;11;14;15;20;21;22;23;35;40;43;45;46;47;54;61;62;65
02693;1;3;9;13;14;25;27;30;36;40;47;48;49;50;53;56;62;63;68;69
02694;2;3;6;9;10;12;17;18;27;29;30;37;38;41;49;58;62;68;69;70
02695;2;9;10;12;17;18;19;23;24;26;35;36;40;42;43;46;50;57;62;63
02696;6;14;18;19;20;22;23;24;27;33;34;38;42;47;49;59;60;63;67;70
02697;17;18;22;25;26;27;30;32;36;39;42;45;46;47;48;55;56;61;64;65
02698;1;2;8;10;12;13;15;32;42;43;44;46;47;48;50;62;64;67;69;70
02699;1;2;7;11;12;13;14;15;23;27;35;36;37;41;44;48;55;57;60;65
02700;1;2;3;8;26;29;31;35;37;38;41;45;50;53;58;59;61;63;64;68
02701;1;3;8;12;14;15;19;20;21;30;31;32;39;45;48;54;55;57;60;61
02702;5;7;16;17;20;21;22;24;28;30;37;41;43;45;50;60;63;66;67;68
02703;2;6;10;11;12;20;22;25;28;30;35;36;37;47;49;50;54;61;69;70
02704;5;8;10;13;16;30;36;39;40;42;44;46;50;54;58;62;64;66;69;70
02705;1;5;9;10;17;33;34;35;37;39;45;46;47;48;50;55;57;64;68;70
02706;1;4;6;18;22;26;32;36;39;43;44;46;50;53;54;57;60;61;64;65
02707;2;3;8;9;13;23;31;34;35;37;39;41;47;52;55;56;60;64;65;68
02708;3;4;12;14;15;18;22;23;26;27;48;49;52;53;55;60;62;66;67;70
02709;2;4;8;9;14;19;29;32;34;35;36;38;39;43;45;48;50;60;67;70
02710;5;6;17;20;23;24;26;28;29;31;32;34;35;39;40;46;49;50;52;55
02711;6;16;17;19;20;21;31;34;35;37;38;41;43;44;48;51;57;60;61;65
02712;1;5;12;14;15;16;19;21;24;26;27;31;39;40;41;47;53;55;59;66
02713;10;12;14;15;18;21;22;24;27;28;29;32;36;39;42;44;51;54;56;62
02714;2;3;4;5;10;16;29;30;31;37;39;40;41;42;43;50;61;63;65;66
02715;4;14;15;28;29;31;32;39;44;45;48;51;54;55;56;59;60;66;67;68
02716;2;5;7;8;10;15;17;21;25;27;29;30;32;34;42;45;48;56;58;64
02717;1;7;21;27;28;35;38;40;43;45;46;48;55;56;59;60;61;65;66;69
02718;7;10;12;16;18;29;30;33;35;41;42;45;46;47;48;57;58;63;67;70
02719;7;8;12;16;18;20;23;24;28;29;38;41;48;49;53;55;58;61;67;69
02720;1;2;6;15;21;24;28;31;34;35;38;42;45;56;57;58;59;61;63;68
02721;3;5;6;7;11;16;21;30;35;37;38;41;44;47;48;51;54;56;60;67
02722;1;2;3;4;8;10;12;15;16;17;19;27;36;40;44;56;58;61;66;67
02723;1;6;11;13;14;18;26;29;40;41;42;47;48;50;51;56;57;60;66;67
02724;10;13;16;18;19;20;21;28;30;32;40;43;47;51;54;56;62;65;67;69
02725;3;5;11;15;18;23;25;29;33;36;38;43;48;51;59;61;64;65;67;70
02726;4;5;7;10;16;27;30;35;36;37;43;46;48;49;50;54;63;64;69;70
02727;2;6;8;11;18;22;28;29;30;34;39;42;45;49;50;51;52;61;63;64
02728;1;2;11;13;15;16;20;21;24;35;37;39;40;42;52;59;61;63;67;69
02729;1;6;7;11;12;13;14;27;30;34;40;42;48;49;51;52;58;61;65;67
02730;3;7;10;16;18;19;20;22;24;29;31;34;44;48;50;51;61;62;64;66
02731;1;3;7;8;11;12;14;15;17;20;26;28;30;36;40;49;55;57;59;63
02732;16;17;21;22;28;33;35;39;40;41;43;46;49;54;56;57;61;64;68;70
02733;3;6;12;16;19;22;23;25;27;31;33;35;46;52;54;57;61;63;65;66
02734;2;3;5;6;16;18;26;30;34;39;40;43;45;46;50;53;54;55;57;61
02735;2;8;16;17;19;21;27;30;34;35;36;39;41;51;52;58;62;64;67;68
02736;1;2;4;11;14;17;19;38;39;44;48;50;53;54;58;59;60;62;64;68
02737;2;4;7;8;19;20;21;24;27;30;40;42;43;45;48;51;54;56;65;66
02738;8;10;12;13;18;20;28;34;41;43;45;46;50;51;56;60;62;65;66;68
02739;4;5;7;9;12;13;16;20;21;30;32;39;40;43;46;50;52;62;63;68
02740;3;9;12;17;19;26;27;30;35;37;40;41;43;44;46;49;51;61;65;67
02741;2;3;6;12;15;18;27;30;40;41;44;47;50;53;54;55;62;65;67;68
02742;2;10;14;15;16;19;24;26;27;29;34;35;37;47;51;54;55;56;61;63
02743;7;10;14;17;20;24;28;30;33;36;38;42;46;48;55;56;58;61;63;68
02744;2;11;16;17;21;29;32;40;42;43;44;52;53;56;57;58;61;63;64;68
02745;1;2;8;9;13;18;24;27;29;30;34;37;43;45;49;53;56;57;59;61
02746;3;4;12;14;21;22;23;25;27;28;35;36;40;44;46;47;51;54;67;70
02747;3;6;9;12;13;14;16;18;20;26;29;31;32;37;47;49;53;60;65;66
02748;5;6;14;23;25;29;32;36;42;43;44;45;50;52;55;57;58;60;67;69
02749;3;9;11;15;17;20;21;22;25;32;42;50;54;57;59;62;63;66;67;69
02750;10;16;19;24;25;26;27;33;39;41;45;47;49;51;53;58;59;63;64;69
02751;9;14;15;18;19;20;26;29;33;36;37;38;39;43;49;51;58;66;69;70
02752;1;2;5;12;13;16;24;26;31;33;36;37;38;39;40;48;49;54;59;64
02753;3;6;14;15;18;20;21;28;29;35;36;40;41;42;50;53;55;61;63;70
02754;1;2;17;18;19;23;24;28;31;38;43;44;45;53;54;57;61;64;68;69
02755;2;5;6;7;14;15;25;34;35;38;39;42;44;45;51;54;61;66;67;68
02756;1;9;14;27;28;31;33;34;35;37;43;44;47;53;55;56;58;64;69;70
02757;2;3;4;9;11;16;22;25;28;30;35;48;50;51;60;61;66;67;69;70
02758;1;4;5;6;11;12;16;23;27;31;32;33;34;35;36;40;43;47;50;56
02759;5;9;12;14;15;17;18;20;21;22;30;40;44;45;46;51;52;55;56;62
02760;2;7;11;12;20;24;30;31;32;37;41;42;45;46;50;56;61;63;67;69
02761;5;7;10;13;17;27;30;38;39;40;44;48;52;53;57;58;60;63;69;70
02762;7;8;13;19;21;23;25;29;30;33;40;42;44;46;47;50;53;56;59;62
02763;12;24;25;29;32;33;41;42;46;49;50;59;60;61;62;63;65;66;68;69
02764;1;4;10;11;13;14;24;26;27;28;29;34;36;38;44;46;64;65;66;68
02765;3;12;20;22;23;34;36;41;43;44;47;52;56;57;59;60;61;64;69;70
02766;1;2;5;7;9;11;12;14;16;18;22;24;30;39;40;49;50;59;65;66
02767;3;4;5;6;12;17;27;29;31;32;34;39;47;48;49;55;56;60;62;68
02768;2;11;13;15;20;22;25;30;31;33;35;42;45;47;51;53;54;63;64;70
02769;3;6;7;8;17;18;20;27;31;34;36;39;40;51;52;53;55;60;62;69
02770;1;2;4;11;12;13;16;19;22;38;42;48;51;53;55;58;60;61;64;69
02771;1;4;6;21;23;24;25;28;30;33;36;37;38;40;43;45;49;51;60;64
02772;1;3;8;12;15;17;22;23;32;33;37;40;41;43;45;50;53;54;58;69
02773;15;20;21;22;23;24;25;27;28;31;37;39;44;45;47;48;50;53;56;61
02774;5;13;15;22;25;30;33;35;38;41;43;44;47;48;54;55;60;62;64;65
02775;2;4;15;19;21;28;30;34;38;39;40;46;49;53;54;56;57;65;69;70
02776;2;4;10;14;15;17;20;24;33;35;40;41;42;50;52;55;56;62;63;65
02777;3;4;7;10;11;17;18;21;24;25;27;29;42;44;51;52;55;58;68;70
02778;4;11;12;15;19;24;26;27;37;40;42;52;53;58;59;60;61;64;65;67
02779;4;6;7;10;20;21;25;26;28;29;40;42;44;50;56;57;62;67;68;69
02780;3;4;5;6;7;12;13;14;18;21;26;27;33;37;48;52;53;55;59;63
02781;1;2;3;4;5;16;17;19;22;24;29;31;32;33;35;37;39;46;56;60
02782;2;4;5;6;13;16;23;25;27;32;38;42;44;47;51;54;55;59;60;63
02783;5;10;14;15;16;17;18;20;22;24;32;33;34;35;37;41;43;56;65;69
02784;2;15;20;21;25;33;37;38;40;41;43;45;47;55;59;60;63;66;67;70
02785;3;6;7;11;13;17;19;23;24;26;39;41;44;48;49;50;55;56;62;67
02786;2;6;21;23;24;26;32;35;36;37;39;41;43;44;46;48;52;54;55;66
02787;4;8;12;14;19;24;28;29;30;32;36;38;39;40;46;47;58;59;61;64
02788;2;4;10;16;17;19;27;29;32;40;42;49;52;53;55;56;59;66;67;69
02789;1;2;10;11;14;19;21;23;24;25;28;30;39;42;45;54;55;59;62;65
02790;3;10;12;14;15;16;18;21;23;30;34;36;39;40;42;50;53;56;57;58
02791;1;3;8;9;10;17;22;24;36;38;40;42;44;49;50;54;56;57;61;64
02792;5;11;15;17;19;23;25;33;35;36;39;42;48;49;57;60;61;66;68;69
02793;5;7;15;16;21;29;30;31;32;38;41;42;44;46;47;51;54;56;57;60
02794;5;13;14;17;20;21;22;25;26;28;36;43;44;47;48;51;58;65;66;69
02795;1;4;7;10;15;25;27;32;33;34;36;37;38;43;49;60;63;67;68;69
02796;3;4;8;11;17;18;20;30;32;36;39;44;45;50;51;53;55;56;63;67
02797;1;2;3;4;5;6;8;14;20;21;23;30;31;35;37;46;55;59;64;66
02798;9;10;11;13;18;25;32;33;39;40;41;42;49;51;56;59;62;63;66;67
02799;4;8;14;17;18;19;25;26;28;34;40;41;43;46;50;54;66;68;69;70
02800;10;11;14;20;25;26;28;29;30;32;33;37;39;42;46;52;63;67;68;69
02801;2;7;8;9;12;28;37;39;40;41;42;48;49;52;55;59;60;64;66;70
02802;2;5;10;11;13;17;20;27;28;30;31;37;43;44;45;48;50;54;55;60
02803;6;11;18;20;21;22;24;29;41;43;46;47;50;51;52;56;62;63;64;69
02804;11;18;19;23;25;29;31;32;34;41;44;48;49;50;52;54;57;61;62;68
02805;3;5;11;14;17;18;20;26;29;30;38;43;44;46;47;50;56;58;59;63
02806;1;2;3;4;12;18;24;28;35;45;46;47;48;49;51;57;58;60;66;69
02807;1;4;9;11;19;26;31;33;34;37;42;43;46;49;52;54;55;58;64;69
02808;2;10;12;17;18;21;28;29;34;35;37;40;52;53;54;55;56;60;67;69
02809;1;2;8;15;18;22;24;25;29;30;31;35;36;40;42;44;53;60;65;68
02810;4;9;19;20;24;26;30;34;35;36;37;44;51;52;55;57;59;60;62;67
02811;1;3;6;10;12;13;28;31;36;39;44;46;48;49;52;55;58;59;67;69
02812;2;9;10;12;15;16;20;24;28;29;35;37;43;46;47;51;57;63;64;66
02813;2;4;11;15;21;23;35;36;43;47;48;49;54;56;58;59;60;61;63;70
02814;7;11;12;15;16;20;21;23;24;28;37;38;39;47;55;57;58;59;62;70
02815;7;10;11;16;20;22;23;27;31;33;37;38;39;41;42;43;46;47;61;63
02816;2;3;4;7;15;19;22;24;37;40;41;45;50;51;54;59;65;66;68;69
02817;1;4;7;8;9;10;14;19;20;28;30;34;35;38;42;46;47;56;63;64
02818;1;6;9;12;13;17;23;28;30;32;38;46;51;53;57;59;61;62;63;66
02819;1;3;7;8;10;16;24;36;37;38;40;43;44;49;52;57;60;61;62;70
02820;1;2;4;5;12;13;14;15;16;27;30;35;40;43;50;58;60;66;67;70
02821;2;3;6;13;14;21;22;23;28;34;35;37;43;45;52;53;58;61;65;70
02822;1;2;14;19;21;25;26;28;31;33;35;39;40;41;42;44;53;61;62;67
02823;1;9;11;13;17;21;25;29;34;35;41;42;43;44;49;53;60;62;64;67
02824;2;6;9;12;17;18;20;21;28;29;32;33;36;39;42;49;52;57;63;70
02825;3;4;9;11;14;22;23;25;27;28;31;33;38;42;44;48;57;60;62;63
02826;2;5;7;10;14;16;22;29;30;35;36;39;42;49;52;54;57;62;64;69
02827;2;4;6;12;21;22;23;27;28;32;40;42;44;46;53;57;59;63;66;69
02828;4;7;11;12;13;16;19;23;30;31;34;38;39;49;61;63;64;65;66;67
02829;1;5;15;18;19;22;27;30;31;33;35;38;46;49;52;57;65;66;68;69
02830;1;2;10;11;16;17;21;32;38;39;41;43;49;51;56;58;61;62;64;66
02831;2;8;12;13;14;17;18;23;25;34;35;41;49;51;53;55;59;65;66;70
02832;1;5;7;8;11;14;17;21;22;23;31;32;37;38;39;48;55;61;65;69
02833;2;4;5;6;7;8;9;11;34;35;40;44;47;54;57;60;61;62;63;67
02834;8;22;24;29;32;34;35;37;38;40;50;51;53;55;57;59;63;64;68;70
02835;5;8;15;22;24;25;28;29;34;37;39;40;42;53;54;57;59;65;66;67
02836;8;11;16;18;23;25;30;32;36;39;40;43;48;49;52;61;64;66;67;70
02837;2;9;14;15;19;20;23;29;32;34;36;39;46;52;55;57;61;64;65;69
02838;5;6;8;14;15;16;21;26;31;34;35;41;45;49;52;54;58;62;63;70
02839;6;7;10;12;16;20;25;31;32;38;40;44;47;58;59;62;65;67;68;69
02840;5;6;20;21;25;29;34;38;39;43;48;52;53;54;56;59;63;67;69;70
02841;1;2;7;10;12;13;15;21;26;27;29;30;33;40;41;42;51;55;67;68
02842;4;6;11;16;17;20;23;24;26;32;34;37;38;41;45;47;57;60;65;70
02843;1;3;5;7;15;19;21;26;30;37;39;40;42;50;51;54;59;61;64;68
02844;4;9;13;14;15;16;18;34;39;42;46;52;55;57;59;61;62;64;66;67
02845;7;12;13;14;15;16;17;30;31;39;40;42;44;48;53;60;61;62;65;69
02846;3;4;7;8;9;10;12;16;22;25;34;35;36;44;46;57;61;62;64;68
02847;3;4;8;9;10;12;13;17;24;25;29;32;33;35;43;62;64;65;66;67
02848;1;2;6;12;14;21;24;29;33;37;41;42;46;49;55;58;59;63;64;69
02849;1;6;8;9;10;11;13;16;22;23;25;32;35;42;44;52;54;60;63;67
02850;5;16;17;19;22;23;27;37;39;42;45;46;48;51;56;57;58;60;62;66
02851;2;3;8;9;12;18;20;24;25;29;35;36;43;49;53;58;65;66;67;69
02852;1;2;3;8;22;24;26;29;36;37;39;41;43;46;47;55;56;64;65;68
02853;7;9;11;20;24;30;32;39;42;45;49;50;53;57;58;60;61;63;64;65
02854;2;4;8;9;16;22;25;26;32;33;37;38;43;45;46;49;58;60;63;70
02855;3;4;5;14;18;23;29;30;31;32;35;36;38;43;54;57;58;59;60;65
02856;1;9;21;27;28;30;35;36;37;43;44;49;53;57;60;63;67;68;69;70
02857;1;4;6;9;10;12;13;16;18;20;30;40;47;49;50;51;59;66;67;68
02858;5;7;9;11;12;16;18;20;22;23;25;28;37;39;41;46;54;57;64;70
02859;3;6;8;9;10;11;15;18;20;24;29;32;37;38;40;42;44;54;65;67
02860;2;4;5;7;9;16;20;23;29;35;36;45;48;50;58;60;62;66;67;69
02861;5;7;8;10;18;20;21;22;24;26;32;33;42;44;46;51;54;58;64;69
02862;1;2;4;7;9;13;15;17;22;26;34;36;37;45;47;49;51;53;64;66
02863;12;14;17;19;20;26;29;33;35;37;47;50;52;55;56;57;58;61;66;69
02864;6;14;17;18;23;24;25;29;30;41;42;44;48;50;57;61;62;63;66;68
02865;1;2;4;8;9;14;16;22;25;30;31;33;35;43;44;46;58;62;67;69
02866;1;16;17;21;29;39;42;43;44;46;53;57;58;59;62;64;67;68;69;70
02867;2;3;5;6;10;11;17;19;23;25;30;32;35;38;52;54;56;61;62;65
02868;3;10;15;19;20;25;32;33;36;39;46;49;53;54;57;59;60;62;64;65
02869;9;10;11;13;15;17;18;23;25;26;30;33;34;41;48;51;55;57;60;63
02870;1;6;9;13;19;22;23;26;27;34;38;40;48;55;57;59;65;67;68;70
02871;2;4;7;14;16;20;23;28;33;36;42;51;54;56;58;61;63;65;67;69
02872;3;12;13;14;17;19;21;24;36;37;43;44;45;47;51;54;55;56;64;65
02873;4;5;6;9;10;12;13;19;20;22;25;27;29;30;31;33;36;54;55;56
02874;3;7;9;11;13;18;22;28;29;31;33;37;50;54;56;57;58;61;62;65
02875;1;5;9;12;16;17;18;19;22;25;26;33;34;37;40;47;55;56;58;66
02876;1;2;4;9;11;12;15;18;23;28;31;33;38;41;46;47;56;62;64;67
02877;4;5;7;9;10;11;16;26;28;29;30;34;35;36;40;46;52;61;68;70
02878;2;4;15;17;18;19;21;25;33;35;37;44;45;46;48;53;55;57;59;61
02879;2;5;9;10;15;16;20;21;23;31;38;39;43;45;48;51;52;55;60;67
02880;3;8;9;18;20;26;27;32;42;44;49;50;52;53;55;57;59;65;66;70
02881;1;2;6;7;8;13;14;17;21;31;32;36;40;41;43;49;50;59;60;61
02882;1;9;10;17;18;20;28;29;34;35;36;37;40;43;46;55;59;60;64;65
02883;3;9;10;11;12;16;19;21;32;35;38;39;40;45;46;47;49;50;58;61
02884;3;5;13;18;19;24;26;29;32;34;35;36;40;47;49;52;55;61;63;68
02885;1;7;13;15;17;22;25;28;31;35;36;37;39;43;57;59;62;66;68;69
02886;3;6;9;13;21;22;28;29;31;34;37;43;48;52;55;57;58;62;64;70
02887;1;8;13;19;21;29;33;36;38;42;45;49;50;51;53;55;56;60;61;67
02888;1;2;4;5;6;7;11;15;19;21;28;30;32;33;40;46;48;55;57;59
02889;8;9;11;18;20;21;26;29;30;32;37;40;46;48;49;52;56;60;68;70
02890;8;11;13;20;21;23;27;38;39;40;42;43;45;49;51;55;58;59;60;70
02891;2;3;6;10;12;20;22;24;27;31;33;44;48;56;57;58;59;61;64;70
02892;10;11;12;15;17;24;26;27;28;29;31;38;44;45;50;54;61;62;66;69
02893;3;8;10;11;12;17;18;23;24;30;33;36;44;47;49;50;62;67;68;69
02894;3;6;7;9;11;14;15;16;17;24;25;36;37;40;42;45;55;59;60;68
02895;2;3;7;8;10;13;21;22;27;37;41;42;45;48;49;52;53;57;60;63
02896;4;5;6;10;11;12;18;19;22;23;26;29;33;34;38;46;50;53;56;70
02897;2;10;17;24;27;29;30;32;33;34;35;36;39;47;48;56;63;64;66;69
02898;3;9;20;21;27;29;30;31;32;36;38;39;41;42;45;48;50;54;56;58
02899;5;7;8;14;16;20;21;25;26;29;30;38;39;41;45;54;56;57;59;67
02900;2;5;9;11;13;15;16;22;24;25;31;32;34;39;45;47;50;55;59;70
02901;10;13;15;18;20;29;31;35;36;37;40;45;47;52;53;56;64;65;67;68
02902;3;8;10;12;14;16;30;31;32;34;38;42;46;51;52;56;57;64;66;69
02903;2;5;7;9;11;26;31;33;36;39;40;41;51;53;54;55;56;57;66;70
02904;5;13;19;21;22;26;32;35;37;38;46;49;50;51;54;57;61;62;65;68
02905;2;4;7;8;9;13;15;24;30;31;32;34;40;41;43;47;49;54;66;70
02906;6;11;14;17;19;24;28;29;33;35;36;37;39;42;50;51;56;60;63;64
02907;1;2;3;4;7;13;17;18;19;22;26;27;31;40;44;49;50;55;60;67
02908;3;5;8;9;15;20;21;23;24;29;33;34;36;43;46;56;58;59;65;66
02909;1;6;17;23;25;29;30;34;36;37;46;47;48;49;51;57;61;64;67;70
02910;1;8;10;12;13;14;21;23;26;29;34;36;39;42;46;49;54;59;66;67
02911;4;14;16;18;21;28;29;30;35;37;39;40;45;46;47;48;57;58;60;68
02912;4;6;13;17;25;27;38;39;41;42;43;46;47;48;49;52;58;59;62;64
02913;2;18;20;28;33;34;35;37;39;40;42;44;49;52;55;57;60;62;64;68
02914;1;6;11;13;19;22;25;37;40;43;45;46;47;48;53;62;64;66;68;69
02915;3;4;5;7;14;18;25;32;33;34;38;41;44;45;46;49;52;58;64;70
02916;2;3;6;10;11;12;22;31;32;37;42;46;47;48;49;55;62;66;67;68
02917;5;16;17;20;21;27;37;42;45;46;48;50;53;55;61;64;65;68;69;70
02918;13;15;16;17;19;21;26;28;32;35;36;41;44;45;47;48;52;64;68;69
02919;6;8;13;15;20;25;29;38;39;42;43;44;50;52;54;56;57;65;68;69
02920;1;5;7;8;16;18;19;27;29;32;33;40;47;50;51;53;61;62;64;65
02921;1;5;6;18;20;24;29;32;34;40;44;46;49;50;53;57;58;61;66;69
02922;1;7;9;15;19;21;26;27;30;32;39;42;45;53;54;55;57;58;67;69
02923;4;5;10;11;20;21;23;24;27;31;32;34;35;37;39;43;49;52;53;57
02924;2;3;5;8;12;16;17;20;21;27;32;40;42;45;46;52;53;57;61;68
02925;2;6;8;13;17;19;21;26;30;36;40;41;47;49;53;57;59;61;64;70
02926;2;3;5;10;14;16;17;19;22;25;29;31;35;42;45;48;52;61;62;65
02927;1;11;12;21;22;24;28;29;30;34;39;42;43;45;46;56;58;62;67;70
02928;2;13;16;17;18;24;25;26;30;31;33;34;35;39;44;50;51;54;58;62
02929;2;10;12;16;18;21;23;28;29;30;32;37;40;43;44;49;54;57;60;68
02930;8;13;16;18;19;20;23;27;28;31;32;34;38;41;48;54;60;62;67;68
02931;3;13;14;15;23;28;29;33;38;41;42;43;45;50;51;52;55;59;66;67
02932;2;3;6;7;8;12;14;16;19;25;26;31;32;34;35;41;44;45;52;58
02933;9;10;12;16;19;28;35;37;38;39;41;42;43;46;51;53;57;58;62;66
02934;1;2;7;8;17;22;23;27;28;29;30;37;41;46;47;49;50;54;69;70
02935;1;4;5;6;15;19;21;25;32;34;37;38;40;42;44;57;65;67;68;69
02936;2;4;6;15;17;19;20;22;23;27;30;32;54;58;61;63;65;67;68;70
02937;1;3;4;11;13;18;26;27;31;33;39;44;48;49;53;54;55;59;61;68
02938;9;11;20;22;25;26;31;36;42;46;51;53;56;59;60;62;65;67;68;70
02939;3;4;11;14;21;24;25;29;30;33;34;37;41;44;46;52;57;64;65;67
02940;2;3;5;7;11;14;26;27;33;43;45;48;52;57;58;64;65;66;69;70
02941;1;6;9;11;12;21;23;24;26;27;38;39;40;45;49;53;57;63;67;70
02942;4;6;8;9;13;22;27;32;35;40;42;43;44;47;52;53;54;55;62;67
02943;3;6;7;12;15;16;17;19;21;22;25;28;35;36;40;50;51;58;60;64
02944;1;7;8;12;21;23;30;31;32;35;36;39;43;46;51;52;58;59;60;67
02945;3;5;7;12;19;21;27;28;30;41;42;45;46;48;51;55;56;59;61;67
02946;1;2;3;10;12;21;23;25;27;30;34;37;39;47;50;52;56;62;67;69
02947;1;3;12;26;32;33;34;37;38;40;43;46;48;49;50;58;60;66;67;70
02948;2;3;5;7;10;12;18;20;21;25;28;32;33;35;40;42;45;51;58;68
02949;2;4;8;13;17;21;23;28;29;30;32;38;41;43;54;56;57;61;62;64
02950;4;11;16;18;22;23;24;27;32;35;46;50;53;54;55;56;58;59;66;68
02951;6;8;13;15;17;18;22;23;27;28;36;39;50;53;55;60;64;66;67;69
02952;2;11;15;17;24;26;29;32;33;34;35;44;45;52;55;58;60;62;68;70
02953;2;5;12;13;15;16;18;26;27;30;35;36;37;38;44;45;47;51;58;64
02954;3;4;5;10;13;15;17;20;24;29;31;33;34;36;39;44;48;55;60;68
02955;2;6;12;20;22;25;27;30;35;43;47;49;50;52;61;62;63;64;66;70
02956;3;6;10;16;17;19;20;21;24;28;29;43;46;47;52;54;57;58;64;70
02957;1;5;6;10;11;12;13;21;24;32;36;37;38;40;47;48;53;58;66;68
02958;1;3;4;7;17;19;21;26;28;37;41;44;49;51;58;60;62;64;67;70
02959;3;6;12;15;21;25;26;29;39;42;46;47;50;55;56;60;61;63;67;70
02960;2;12;18;19;27;28;30;31;32;34;35;37;41;44;45;48;52;53;68;70
02961;1;7;14;17;23;25;28;29;31;32;34;38;42;44;52;53;54;60;67;69
02962;2;4;10;14;18;24;32;33;34;35;41;42;46;47;48;57;66;68;69;70
02963;4;7;8;14;17;20;24;26;29;33;35;38;39;43;44;48;55;56;59;61
02964;12;13;14;15;16;19;22;29;32;34;37;39;46;48;51;53;55;57;59;62
02965;4;5;6;12;13;14;18;23;31;37;40;44;47;48;56;61;62;66;68;69
02966;4;5;6;9;18;21;25;27;30;35;36;37;43;44;48;50;58;60;62;66
02967;6;8;14;18;19;20;22;28;32;35;36;37;40;43;45;51;57;58;61;69
02968;5;8;10;16;18;22;24;30;36;39;40;41;43;45;47;48;57;59;63;64
02969;11;15;16;20;25;27;32;33;35;37;38;40;44;47;51;54;57;59;60;69
02970;6;12;16;20;23;24;26;27;29;31;33;41;45;47;48;49;53;57;69;70
02971;3;9;15;29;30;36;37;43;45;46;48;49;54;55;57;58;59;60;63;65
02972;2;5;7;10;13;15;16;20;21;24;28;31;36;42;46;50;55;56;57;64
02973;1;4;5;10;11;16;21;23;29;33;34;41;46;52;53;56;58;62;64;66
02974;2;11;15;21;22;26;32;33;34;40;42;43;45;47;53;55;58;61;63;65
02975;2;4;5;11;25;26;29;34;36;40;41;42;49;56;57;60;61;63;64;67
02976;2;7;10;15;16;18;25;28;30;31;32;40;42;44;45;46;51;56;64;69
02977;1;3;4;6;16;20;23;24;29;31;32;36;40;43;51;53;57;59;61;66
02978;5;6;7;8;11;12;15;18;20;29;30;32;33;44;49;54;55;59;60;66
02979;3;8;11;15;17;18;21;22;32;33;35;43;44;54;55;62;63;65;66;67
